Brand,Model,Model_Slug
ATHER,Ather 450X,450x
ATHER,Ather Rizta,rizta
ATHER,Ather 450 Apex,450-apex
ATHER,Ather 450S,450s
BAJAJ,Bajaj Chetak 2903,chetak-2903
BAJAJ,Bajaj Chetak 3501,chetak-3501
HERO ELECTRIC,Hero Electric Optima,optima
HERO ELECTRIC,Hero Electric Flash,flash
HERO ELECTRIC,Hero Electric Atria,atria
HERO ELECTRIC,Hero Electric Photon,photon
OLA ELECTRIC,Ola S1 Air,s1-air
OLA ELECTRIC,Ola S1 Pro,s1-pro
OLA ELECTRIC,Ola S1 X,s1-x
OLA ELECTRIC,Ola Roadster,roadster
OLA ELECTRIC,Ola S1 Z,s1-z
OLA ELECTRIC,Ola Roadster X,roadster-x
OLA ELECTRIC,Ola S1 X Plus,s1-x-plus
OLA ELECTRIC,Ola Roadster X+,roadster-x-plus
OLA ELECTRIC,Ola Gig,gig
OLA ELECTRIC,Ola Roadster Pro,roadster-pro
OLA ELECTRIC,Ola S1 Pro Plus,s1-pro-plus
TVS Motors,TVS iQube,iqube
TVS Motors,TVS iQube S,iqube-s
TVS Motors,TVS iQube ST,iqube-st
